Antonio Fernandez1  12345678  21   81  171
Antonio Fernandez2  23456789  22   82  172
Antonio Fernandez3  34567890  23   83  173
Antonio Fernandez4  45678901  24   84  174
Antonio Fernandez5  56789012  25  185  175
Antonio Fernandez6  67890123  26   86  176
Antonio Fernandez7  78901234  27   87  177
Antonio Fernandez8  89012345  28   88  178
Antonio Fernandez9  90123456  29   89  179
Antonio Fernandez10 98765432  30   90  280
Antonio Fernandez11 87654321  31   91  181
Antonio Fernandez12 76543210  32   92  182
Antonio Fernandez13 65432109  33   93  183
Antonio Fernandez14 54321098  34   94  184
Antonio Fernandez15 43210987  35  195  185
Antonio Fernandez16 32109876  36   96  186
Antonio Fernandez17 21098765  37   97  187
Antonio Fernandez18 10987654  38   98  188
